scheme_name,scheme_url
Mukhya Mantri Grihini Suvidha Yojana,https://www.myscheme.gov.in/schemes/mmgsy
Mukhya Mantri Kanyadaan Yojana,https://www.myscheme.gov.in/schemes/mmky
Mukhya Mantri Mahila Nirman Shramik Sammaan Yojana (HBOCWWB),https://www.myscheme.gov.in/schemes/mmmnssyhbocwwb
Mukhya Mantri Mahila Sashaktikaran Yojana,https://www.myscheme.gov.in/schemes/mmmsy
Mukhya Mantri Matritva Sahayata Yojana,https://www.myscheme.gov.in/schemes/mmmsyh
Mukhya Mantri Shramik Seva Prasuti Sahayata Yojana,https://www.myscheme.gov.in/schemes/mmsspsy
Mukhya Mantri Vivah Shagun Yojna,https://www.myscheme.gov.in/schemes/mmvsy
Mukhyamantri - Majhi Ladki Bahin Yojana,https://www.myscheme.gov.in/schemes/mmlby
Mukhyamantri Aadim Jan Jati Pension Yojana,https://www.myscheme.gov.in/schemes/majjpy
Mukhyamantri Aanchal Amrit Yojana,https://www.myscheme.gov.in/schemes/maayu
Mukhyamantri Alpasankhyak Medhwi Balika Protsahan Yojana,https://www.myscheme.gov.in/schemes/mmmgis
Mukhyamantri Anusuchit Jati Evam Anusuchit Janjati Chhatrawas Anudan Yojana,https://www.myscheme.gov.in/schemes/majeajcay
Mukhyamantri Asangathit Karmakar Cycle Sahayata Yojana,https://www.myscheme.gov.in/schemes/makssy
Mukhyamantri Avivahita Pension Yojana,https://www.myscheme.gov.in/schemes/maps
Mukhyamantri Bal Poshan Yojana,https://www.myscheme.gov.in/schemes/mbpyu
Mukhyamantri Bhagyalaxmi Bond Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/mbbsgbocwwb
Mukhyamantri Covid-19 Bal Seva Yojana,https://www.myscheme.gov.in/schemes/mcbsy
Mukhyamantri Divyangjan Sashaktikaran Chhatra Yojana,https://www.myscheme.gov.in/schemes/mdscy
